user,system,children_user,children_system,iowait,brand_raw,vendor_id_raw,arch,count,l2_cache_size,l3_cache_size,hz_actual_friendly,hz_advertised_friendly,l2_cache_line_size,l2_cache_associativity,benchmark
6.37,0.2,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
6.68,0.2,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
7.01,0.21,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
7.35,0.22,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
7.71,0.23,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
8.09,0.23,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
8.48,0.24,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
8.88,0.26,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
9.31,0.27,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
9.77,0.28,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
10.24,0.29,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
10.74,0.3,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
11.26,0.31,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
11.8,0.33,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
