user,system,children_user,children_system,iowait,time,brand_raw,vendor_id_raw,arch,count,l2_cache_size,l3_cache_size,hz_actual_friendly,hz_advertised_friendly,l2_cache_line_size,l2_cache_associativity,benchmark
2.38,0.07,0.0,0.0,0.0,2.4586188793182373,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
2.45,0.07,0.0,0.0,0.0,2.5286614894866943,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
2.52,0.07,0.0,0.0,0.0,2.600736618041992,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
2.59,0.08,0.0,0.0,0.0,2.674865484237671,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
2.65,0.09,0.0,0.0,0.0,2.7511279582977295,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
2.73,0.09,0.0,0.0,0.0,2.82954478263855,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
2.8,0.09,0.0,0.0,0.0,2.910202741622925,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
2.89,0.09,0.0,0.0,0.0,2.9931647777557373,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
2.97,0.09,0.0,0.0,0.0,3.0784921646118164,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
3.05,0.1,0.0,0.0,0.0,3.1662797927856445,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
3.14,0.11,0.0,0.0,0.0,3.2565014362335205,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
3.23,0.11,0.0,0.0,0.0,3.3492989540100098,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
3.32,0.11,0.0,0.0,0.0,3.4448139667510986,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
3.42,0.11,0.0,0.0,0.0,3.5430104732513428,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
3.52,0.11,0.0,0.0,0.0,3.6440067291259766,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
3.62,0.12,0.0,0.0,0.0,3.747886896133423,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
3.72,0.12,0.0,0.0,0.0,3.8547255992889404,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
3.83,0.12,0.0,0.0,0.0,3.964613437652588,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
3.94,0.13,0.0,0.0,0.0,4.077624797821045,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
4.05,0.13,0.0,0.0,0.0,4.193865537643433,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
4.16,0.14,0.0,0.0,0.0,4.313418388366699,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
4.28,0.15,0.0,0.0,0.0,4.436382055282593,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
4.41,0.15,0.0,0.0,0.0,4.562849521636963,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
4.53,0.15,0.0,0.0,0.0,4.692924976348877,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
4.67,0.15,0.0,0.0,0.0,4.826699733734131,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
4.8,0.15,0.0,0.0,0.0,4.9642980098724365,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
4.94,0.15,0.0,0.0,0.0,5.105814456939697,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
5.08,0.16,0.0,0.0,0.0,5.251384496688843,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
5.23,0.16,0.0,0.0,0.0,5.401035785675049,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
5.38,0.16,0.0,0.0,0.0,5.555026292800903,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
5.53,0.17,0.0,0.0,0.0,5.713382005691528,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
5.69,0.17,0.0,0.0,0.0,5.876254558563232,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
5.86,0.17,0.0,0.0,0.0,6.0437726974487305,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
6.03,0.17,0.0,0.0,0.0,6.216052055358887,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
6.2,0.18,0.0,0.0,0.0,6.393250465393066,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
